"Date","Time","Site","Rep","FQ_ID","FQ_PH","FQ_chl","FQ_ratio","CF_PH","CF_chl","CF_ratio","temperature_C","DO_pct","turbidity","chl_RFU","maramataka","weather_description","water_description","Notes"
2025-01-20,"9:45","Hannah's Bay","1","A",0.1,6.7,0.01,"1749.2",7104.5,"0.24","21.3",102.3,"1.4","2.75","Korekore-piri-ki-ngā-Tangaroa","Overcast, fine spells.","Murky, slight wave action with wind.",NA
2025-01-20,"9:45","Hannah's Bay","2","A",0.1,8.91,0.01,"1953.3",7560.6,"0.25","21.3",102.3,"1.4","2.75","Korekore-piri-ki-ngā-Tangaroa","Overcast, fine spells.","Murky, slight wave action with wind.",NA
2025-01-20,"9:45","Hannah's Bay","3","A",0.1,8.57,0.01,"2092.5",6816.5,"0.3","21.3",102.3,"1.4","2.75","Korekore-piri-ki-ngā-Tangaroa","Overcast, fine spells.","Murky, slight wave action with wind.",NA
2025-01-20,"10:40","Te Pōhue","1","A",0.1,0.75,0.13,"120.9",630.67,"0.19","22.2",88.5,"0.45","0.31","Korekore-piri-ki-ngā-Tangaroa",NA,"Clear, little wave action",NA
2025-01-20,"10:40","Te Pōhue","2","A",0.1,0.35,0.28,"29.57",519.35,"0.05","22.2",88.5,"0.45","0.31","Korekore-piri-ki-ngā-Tangaroa",NA,"Clear, little wave action",NA
2025-01-20,"10:40","Te Pōhue","3","A",0.1,0.7,0.14,"0.69",602.74,"0.001","22.2",88.5,"0.45","0.31","Korekore-piri-ki-ngā-Tangaroa",NA,"Clear, little wave action",NA
2025-01-20,"10:53","Ohau Channel","1","A",0.1,2.77,0.03,"265.77",839.96,"0.31","20.2",80.6,"1.02","0.5","Korekore-piri-ki-ngā-Tangaroa",NA,"Clear, slight wave action",NA
2025-01-20,"10:53","Ohau Channel","2","A",0.1,2.22,0.04,"440.97",906.26,"0.48","20.2",80.6,"1.02","0.5","Korekore-piri-ki-ngā-Tangaroa",NA,"Clear, slight wave action",NA
2025-01-20,"10:53","Ohau Channel","3","A",0.1,1.68,0.05,"98.1",2255.6,"0.13","20.2",80.6,"1.02","0.5","Korekore-piri-ki-ngā-Tangaroa",NA,"Clear, slight wave action",NA
2025-01-20,"11:23","Hamurana (bridge)","1","A",0.1,2.03,0.04,"98.24",558.29,"0.17","19.1",146.3,"0.79","0.43","Korekore-piri-ki-ngā-Tangaroa",NA,"Murky, slight wave action with wind.",NA
2025-01-20,"11:23","Hamurana (bridge)","2","A",0.1,2.23,0.04,"239.72",1004.7,"0.23","19.1",146.3,"0.79","0.43","Korekore-piri-ki-ngā-Tangaroa",NA,"Murky, slight wave action with wind.",NA
2025-01-20,"11:23","Hamurana (bridge)","3","A",0.1,1.34,0.07,"170.98",1013.5,"0.16","19.1",146.3,"0.79","0.43","Korekore-piri-ki-ngā-Tangaroa",NA,"Murky, slight wave action with wind.",NA
2025-01-20,"11:39","Hamurana (West)","1","A",0.1,1.49,0.06,"109.91",509.35,"0.21","21.8",124.5,"0.6","0.28","Korekore-piri-ki-ngā-Tangaroa",NA,"Murky, slight wave action with wind.",NA
2025-01-20,"11:39","Hamurana (West)","2","A",0.1,2.13,0.04,"66.6",593.97,"0.11","21.8",124.5,"0.6","0.28","Korekore-piri-ki-ngā-Tangaroa",NA,"Murky, slight wave action with wind.",NA
2025-01-20,"11:39","Hamurana (West)","3","A",0.1,1.98,0.05,"92.02",699.59,"0.13","21.8",124.5,"0.6","0.28","Korekore-piri-ki-ngā-Tangaroa",NA,"Murky, slight wave action with wind.",NA
2025-01-20,"11:56","Awahou (Tarimano)","1","A",64,1.78,35.95,"72.12",315.75,"0.22","14.7",100.1,"0.81","0.07","Korekore-piri-ki-ngā-Tangaroa",NA,"Clear, little wave action",NA
2025-01-20,"11:56","Awahou (Tarimano)","2","A",17.04,0.94,NA,"92.71",215.45,"0.43","14.7",100.1,"0.81","0.07","Korekore-piri-ki-ngā-Tangaroa",NA,"Clear, little wave action",NA
2025-01-20,"11:56","Awahou (Tarimano)","3","A",0.1,2.27,0.04,"36.41",167.45,"0.21","14.7",100.1,"0.81","0.07","Korekore-piri-ki-ngā-Tangaroa",NA,"Clear, little wave action",NA
2025-01-20,"12:28","Ngongotaha","1","A",0.1,1.48,0.05,"425.34",1112.3,"0.2","19.5",109.8,"2.92","0.41","Korekore-piri-ki-ngā-Tangaroa",NA,"moderate wave action, murky water",NA
2025-01-20,"12:28","Ngongotaha","2","A",0.1,2.33,0.06,"388.05",1471.4,"0.43","19.5",109.8,"2.92","0.41","Korekore-piri-ki-ngā-Tangaroa",NA,"moderate wave action, murky water",NA
2025-01-20,"12:28","Ngongotaha","3","A",0.1,1.09,0.05,"561.02",1702.2,"0.33","19.5",109.8,"2.92","0.41","Korekore-piri-ki-ngā-Tangaroa",NA,"moderate wave action, murky water",NA
2025-01-20,"12:53","Lake Front","1","A",0.1,9.7,0.01,"1555.6",5695.8,"0.27","20.9",142.1,"3.95","0.77","Korekore-piri-ki-ngā-Tangaroa",NA,"moderate wave action, murky water",NA
